Organization Name,Company Homepage URL
Eversource Energy,https://www.eversource.com
Wayfair,https://www.wayfair.com
Community Health Systems,https://www.chs.net
Ally Financial,https://www.ally.com
Regeneron Pharmaceuticals,https://www.regeneron.com
Liberty Media,https://www.libertymedia.com
APA,https://www.apacorp.com
Qurate Retail,https://www.qurateretail.com
FirstEnergy,https://www.firstenergycorp.com
Analog Devices,https://www.analog.com
Ryder System,https://www.ryder.com
Avis Budget Group,https://www.avisbudgetgroup.com
Unum Group,https://www.unum.com
Newmont,https://www.newmont.com
VF,https://www.vfc.com
Chesapeake Energy,https://www.chk.com
Mohawk Industries,https://www.mohawkind.com
Markel,https://www.markel.com
Expedia Group,https://www.expediagroup.com
Caesars Entertainment,https://www.caesars.com
United Rentals,https://www.unitedrentals.com
Apollo Global Management,https://www.apollo.com
DaVita,https://www.davita.com
Hess,https://www.hess.com
Fidelity National Financial,https://www.fnf.com
Conagra Brands,https://www.conagrabrands.com
Univar Solutions,https://www.univarsolutions.com
Auto-Owners Insurance,https://www.auto-owners.com
Raymond James Financial,https://www.raymondjames.com
Seaboard,https://www.seaboardcorp.com
CF Industries Holdings,https://www.cfindustries.com
S&P Global,https://www.spglobal.com
W.R. Berkley,https://www.berkley.com
Advance Auto Parts,https://www.advanceautoparts.com
EMCOR Group,https://www.emcorgroup.com
Williams,https://www.williams.com
Interpublic Group,https://www.interpublic.com
TravelCenters of America,https://www.ta-petro.com
American Tower,https://www.americantower.com
Molson Coors Beverage,https://www.molsoncoors.com
Huntington Ingalls Industries,https://www.hii.com
NVR,https://www.nvrinc.com
Eastman Chemical,https://www.eastman.com
Graybar Electric,https://www.graybar.com
Insight Enterprises,https://www.insight.com
Hershey,https://www.thehersheycompany.com
News Corp.,https://www.newscorp.com
Toll Brothers,https://www.tollbrothers.com
Ulta Beauty,https://www.ulta.com
Assurant,https://www.assurant.com
Weyerhaeuser,https://www.weyerhaeuser.com
Biogen,https://www.biogen.com
Dana,https://www.dana.com
UGI,https://www.ugicorp.com
Chewy,https://www.chewy.com
Owens & Minor,https://www.owens-minor.com
Quest Diagnostics,https://www.questdiagnostics.com
Public Service Enterprise Group,https://www.pseg.com
Ebay,https://www.ebay.com
MasTec,https://www.mastec.com
Owens Corning,https://www.owenscorning.com
Celanese,https://www.celanese.com
Altice USA,https://www.alticeusa.com
Alaska Air Group,https://www.alaskaair.com
SpartanNash,https://www.spartannash.com
Diamondback Energy,https://www.diamondbackenergy.com
Intercontinental Exchange,https://www.ice.com
Darden Restaurants,https://www.darden.com
UFP Industries,https://www.ufpi.com
WEC Energy Group,https://www.wecenergygroup.com
Yum China Holdings,https://ir.yumchina.com
EnLink Midstream,https://www.enlink.com
Continental Resources,https://www.clr.com
Newell Brands,https://www.newellbrands.com
Graphic Packaging Holding,https://www.graphicpkg.com
Olin,https://www.olin.com
Fifth Third Bancorp,https://www.53.com
Thrivent Financial for Lutherans,https://www.thrivent.com
CenterPoint Energy,https://www.centerpointenergy.com
Erie Insurance Group,https://www.erieinsurance.com
CommScope Holding,https://www.commscope.com
KLA,https://www.kla.com
JetBlue Airways,https://www.jetblue.com
Motorola Solutions,https://www.motorolasolutions.com
Citizens Financial Group,https://www.citizensbank.com
Coterra Energy,https://www.coterra.com
Avery Dennison,https://www.averydennison.com
PVH,https://www.pvh.com
GXO Logistics,https://www.gxo.com
Polaris,https://www.polaris.com
Global Payments,https://www.globalpaymentsinc.com
Arconic,https://www.arconic.com
Vertex Pharmaceuticals,https://www.vrtx.com
Commercial Metals,https://www.cmc.com
Autoliv,https://www.autoliv.com
Constellation Brands,https://www.cbrands.com
Hilton Worldwide Holdings,https://www.hilton.com
Foot Locker,https://www.footlocker.com/corp
Huntsman,https://www.huntsman.com
Burlington Stores,https://www.burlingtoninvestors.com
Hertz Global Holdings,https://www.hertz.com
Masco,https://www.masco.com
Williams-Sonoma,https://www.williams-sonomainc.com
Chipotle Mexican Grill,https://www.chipotle.com
M&T Bank,https://www.mtb.com
LPL Financial Holdings,https://www.lpl.com
CMS Energy,https://www.cmsenergy.com
Campbell Soup,https://www.campbellsoupcompany.com
Arthur J. Gallagher,https://www.ajg.com
Blackstone,https://www.blackstone.com
Dover,https://www.dovercorporation.com
ODP,https://www.theodpcorp.com
Packaging Corp. of America,https://www.packagingcorp.com
Brighthouse Financial,https://www.brighthousefinancial.com
Beacon Roofing Supply,https://www.becn.com
Airbnb,https://www.airbnb.com
Boise Cascade,https://www.bc.com
Booz Allen Hamilton Holding,https://www.boozallen.com
Westinghouse Air Brake Technologies,https://www.wabteccorp.com
ON Semiconductor,https://www.onsemi.com
Oshkosh,https://www.oshkoshcorp.com
Franklin Resources,https://www.franklinresources.com
Taylor Morrison Home,https://www.taylormorrison.com
A-Mark Precious Metals,https://www.amark.com
KeyCorp,https://www.key.com
ARKO,https://www.arkocorp.com
Lululemon athletica,https://www.lululemon.com
Old Republic International,https://www.oldrepublic.com
Zoetis,https://www.zoetis.com
Marathon Oil,https://www.marathonoil.com
J.M. Smucker,https://www.jmsmucker.com
Huntington Bancshares,https://www.huntington.com
NGL Energy Partners,https://www.nglenergypartners.com
Ingredion,https://www.ingredion.com
Fortune Brands Innovations,https://www.fbin.com
PPL,https://www.pplweb.com
Sanmina,https://www.sanmina.com
Bed Bath & Beyond,https://www.bedbathandbeyond.com
Cintas,https://www.cintas.com
NCR,https://www.ncr.com
ABM Industries,https://www.abm.com
Rockwell Automation,https://www.rockwellautomation.com
Northern Trust,https://www.northerntrust.com
XPO,https://www.xpo.com
Science Applications International,https://www.saic.com
Ameren,https://www.ameren.com
First American Financial,https://www.firstam.com
Bath & Body Works,https://www.bbwinc.com
Regions Financial,https://www.regions.com
Activision Blizzard,https://www.activisionblizzard.com
Avantor,https://www.avantorsciences.com
Genworth Financial,https://www.genworth.com
EQT,https://www.eqt.com
Skechers U.S.A.,https://www.skechers.com
Landstar System,https://www.landstar.com
Knight-Swift Transportation Holdings,https://www.knight-swift.com
SVB Financial Group,https://www.svb.com
Par Pacific Holdings,https://www.parpacific.com
Albemarle,https://www.albemarle.com
Vulcan Materials,https://www.vulcanmaterials.com
Watsco,https://www.watsco.com
KKR,https://www.kkr.com
Equinix,https://www.equinix.com
Sonoco Products,https://www.sonoco.com
ServiceNow,https://www.servicenow.com
Robert Half International,https://www.roberthalf.com
